"","","District","","Name","Party","Religion","Prior Experience","Education","Assumed Office","Born In"
"82","","Connecticut 1","","Larson, John B.John B. Larson","Democratic","Roman Catholic","Connecticut Senate, East Hartford, Connecticut City Council, East Hartford, Connecticut Board of Education","Central Connecticut State University","1999","1948"
"83","","Connecticut 2","","Courtney, JoeJoe Courtney","Democratic","Roman Catholic","Connecticut House of Representatives","Tufts University","2007","1953"
"84","","Connecticut 3","","DeLauro, RosaRosa DeLauro","Democratic","Roman Catholic","Executive Director of EMILY's List, Political aide","Marymount College","1991","1943"
"85","","Connecticut 4","","Himes, JimJim Himes","Democratic","Presbyterian PC(USA)","Financial executive","Harvard UniversityUniversity of Oxford","2009","1966"
"86","","Connecticut 5","","Esty, ElizabethElizabeth Esty","Democratic","Congregationalist - UCC","Connecticut House of Representatives","Harvard UniversityYale University","2013","1959"
"87","","Delaware At Large","","Carney, JohnJohn Carney","Democratic","Roman Catholic","Lieutenant Governor of Delaware, Delaware Secretary of Finance","Dartmouth CollegeUniversity of Delaware","2011","1956"
"88","","Florida 1","","Miller, JeffJeff Miller","Republican","United Methodist","Florida House of Representatives, Santa Rosa County, Florida Deputy Sheriff","University of Florida","2001","1959"
"89","","Florida 2","","Southerland, SteveSteve Southerland","Republican","Baptist - SBC","Funeral Home Director","Jefferson State Community CollegeTroy State University","2011","1965"
"90","","Florida 3","","Yoho, TedTed Yoho","Republican","Roman Catholic","Veterinarian","University of Florida","2013","1955"
"91","","Florida 4","","Crenshaw, AnderAnder Crenshaw","Republican","Episcopalian","Florida Senate, Florida House of Representatives","University of GeorgiaUniversity of Florida","2001","1944"
"92","","Florida 5","","Brown, CorrineCorrine Brown","Democratic","Baptist - FGBCF","Florida House of Representatives","Florida A&M University","1993","1946"
"93","","Florida 6","","DeSantis, RonRon DeSantis","Republican","Roman Catholic","Prosecutor U.S. Attorney's Office, U.S. Navy","Yale UniversityHarvard Law School","2013","1978"
"94","","Florida 7","","Mica, JohnJohn Mica","Republican","Episcopalian","Florida House of Representatives","University of Florida","1993","1943"
"95","","Florida 8","","Posey, BillBill Posey","Republican","United Methodist","Florida Senate, Florida House of Representatives, Rockledge, Florida City Council","Nova Southeastern University","2009","1947"
"96","","Florida 9","","Grayson, AlanAlan Grayson","Democratic","Jewish","U.S. House","Harvard University","2013","1958"
"97","","Florida 10","","Webster, DanielDaniel Webster","Republican","Baptist - SBC","Florida Senate, Florida House of Representatives","Georgia Institute of Technology","2011","1949"
"98","","Florida 11","","Nugent, RichRich Nugent","Republican","United Methodist","Sheriff of Hernando County, Florida","Saint Leo UniversityTroy University","2011","1951"
"99","","Florida 12","","Bilirakis, GusGus Bilirakis","Republican","Eastern Orthodox","Florida House of Representatives","University of FloridaStetson University College of Law","2007","1963"
"100","","Florida 13","","Jolly, DavidDavid Jolly","Republican","Baptist","Attorney, general counsel to former Congressman Bill Young","Emory UniversityGeorge Mason University School of Law","2014","1972"
"101","","Florida 14","","Castor, KathyKathy Castor","Democratic","Presbyterian PC(USA)","Assistant General Counsel to the Florida Department of Community Affairs, President of the Florida Association of Women Lawyers, Hillsborough County, Florida Board of Commissioners","Emory University","2007","1966"
"102","","Florida 15","","Ross, DennisDennis Ross","Republican","Presbyterian PC(USA)","Florida House of Representatives","Auburn UniversityCumberland School of Law","2011","1959"
"103","","Florida 16","","Buchanan, VernVern Buchanan","Republican","Baptist - SBC","Auto Dealer","Cleary University","2007","1951"
"104","","Florida 17","","Rooney, TomTom Rooney","Republican","Roman Catholic","Criminal Prosecutor Florida Department of Justice, Attorney","Washington & Jefferson CollegeUniversity of Florida","2009","1970"
"105","","Florida 18","","Murphy, PatrickPatrick Murphy","Democratic","Roman Catholic","Accountant","University of Miami","2013","1983"
"106","","Florida 19","","Clawson, CurtCurt Clawson","Republican","Mormon","Automotive Executive","Purdue UniversityHarvard Business School","2014","1959"
"107","","Florida 20","","Hastings, AlceeAlcee Hastings","Democratic","African Methodist","Judge of the United States District Court for the Southern District of Florida","Fisk University","1993","1936"
"108","","Florida 21","","Deutch, TedTed Deutch","Democratic","Jewish","Florida Senate","University of MichiganUniversity of Michigan Law School","2010*","1966"
"109","","Florida 22","","Frankel, LoisLois Frankel","Democratic","Jewish","West Palm Beach mayor","Boston UniversityGeorgetown University Law Center","2013","1948"
"110","","Florida 23","","Wasserman Schultz, DebbieDebbie Wasserman Schultz","Democratic","Jewish","Florida Senate, Florida House of Representatives","University of Florida","2005","1966"
"111","","Florida 24","","Wilson, FredericaFrederica Wilson","Democratic","Episcopalian","Florida Senate, Florida House of Representatives","Fisk UniversityUniversity of Miami","2011","1942"
"112","","Florida 25","","Diaz-Balart, MarioMario Diaz-Balart","Republican","Roman Catholic","Florida Senate, Florida House of Representatives","University of South Florida","2003","1961"
"113","","Florida 26","","Garcia, JoeJoe Garcia","Democratic","Roman Catholic","U.S. Department of Energy Director of Economic Impact","Belen Jesuit Preparatory SchoolUniversity of MiamiUniversity of Miami School of Law","2013","1963"
"114","","Florida 27","","Ros-Lehtinen, IleanaIleana Ros-Lehtinen","Republican","Episcopalian","Florida Senate, Florida House of Representatives","Florida International UniversityUniversity of Miami","1989","1952"
"115","","Georgia 1","","Kingston, JackJack Kingston","Republican","Episcopalian","Georgia House of Representatives","University of Georgia","1993","1955"
"116","","Georgia 2","","Bishop, SanfordSanford Bishop","Democratic","Baptist - NBC","Georgia State Senate, Georgia House of Representatives","Morehouse College","1993","1947"
"117","","Georgia 3","","Westmoreland, LynnLynn Westmoreland","Republican","Baptist - SBC","Georgia House of Representatives","Georgia State University","2003","1950"
"118","","Georgia 4","","Johnson, HankHank Johnson","Democratic","Soka Gakkai Buddhist","DeKalb County, Georgia Commissioner, Associate Magistrate Judge","Clark Atlanta University","2007","1954"
"119","","Georgia 5","","Lewis, JohnJohn Lewis","Democratic","Baptist - ABCUSA","Atlanta City Council, Chairman of the Student Nonviolent Coordinating Committee","American Baptist Theological Seminary","1987","1940"
"120","","Georgia 6","","Price, TomTom Price","Republican","Presbyterian PC(USA)","Physician","University of Michigan","2005","1954"
"121","","Georgia 7","","Woodall, RobRob Woodall","Republican","United Methodist","Political aide, Attorney","Furman UniversityUniversity of Georgia","2011","1970"
"122","","Georgia 8","","Scott, AustinAustin Scott","Republican","Baptist - SBC","Georgia House of Representatives","University of Georgia","2011","1969"
"123","","Georgia 9","","Collins, DougDoug Collins","Republican","Baptist - SBC","Georgia House of Representatives","North Georgia CollegeNew Orleans Baptist Theological Seminary","2013","1966"
"124","","Georgia 10","","Broun, PaulPaul Broun","Republican","Baptist - SBC","Physician","University of GeorgiaMedical College of Georgia","2007*","1946"
"125","","Georgia 11","","Gingrey, PhilPhil Gingrey","Republican","Roman Catholic","Georgia State Senate, Chairman of the Marietta, Georgia School Board","Georgia Institute of TechnologyMedical College of Georgia","2003","1942"
"126","","Georgia 12","","Barrow, JohnJohn Barrow","Democratic","Baptist - CBF","Clarke County, Georgia Commissioner, Athens, Georgia City Council","University of GeorgiaHarvard University","2005","1955"
"127","","Georgia 13","","Scott, DavidDavid Scott","Democratic","Baptist","Georgia State Senate, Georgia House of Representatives","Florida A&M University","2003","1946"
"128","","Georgia 14","","Graves, TomTom Graves","Republican","Baptist - SBC","Georgia House of Representatives,","University of Georgia","2010*","1970"
"129","","Hawaii 1","","Hanabusa, ColleenColleen Hanabusa","Democratic","Jodo Shinshu Buddhist","President of the Hawaii Senate","University of HawaiiWilliam S. Richardson School of Law","2011","1951"
"130","","Hawaii 2","","Gabbard, TulsiTulsi Gabbard","Democratic","Hinduism","Honolulu City Council,Hawaii House of Representatives","Hawaii Pacific UniversityOfficer Candidate School","2013","1981"
"131","","Idaho 1","","Labrador, RaúlRaúl Labrador","Republican","Mormon","Idaho House of Representatives","Brigham Young UniversityUniversity of Washington","2011","1967"
"132","","Idaho 2","","Simpson, MikeMike Simpson","Republican","Mormon","Speaker of the Idaho House of Representatives, Blackfoot, Idaho City Council","Utah State University","1999","1950"
"133","","Illinois 1","","Rush, BobbyBobby Rush","Democratic","Nondenominational Christian","Chicago City Council","Roosevelt UniversityUniversity of IllinoisMcCormick Theological Seminary","1993","1946"
"134","","Illinois 2","","Kelly, RobinRobin Kelly","Democratic","unknown","Illinois House of Representatives","Bradley UniversityNorthern Illinois University","2013*","1956"
"135","","Illinois 3","","Lipinski, DanDan Lipinski","Democratic","Roman Catholic","Member of the University of Notre Dame and University of Tennessee Faculty","Northwestern UniversityStanford UniversityDuke University","2005","1966"
"136","","Illinois 4","","Gutiérrez, LuisLuis Gutiérrez","Democratic","Roman Catholic","Chicago City Council","Northeastern Illinois University","1993","1953"
"137","","Illinois 5","","Quigley, MikeMike Quigley","Democratic","Roman Catholic","Cook County Board of Commissioners","Roosevelt UniversityLoyola University Chicago School of LawUniversity of Chicago","2009*","1959"
"138","","Illinois 6","","Roskam, PeterPeter Roskam","Republican","Anglican (AMiA)","Illinois Senate, Illinois House of Representatives","University of IllinoisChicago–Kent College of Law","2007","1961"
"139","","Illinois 7","","Davis, Danny K.Danny K. Davis","Democratic","Baptist","Chicago City Council, Cook County Board of Commissioners","University of Arkansas at Pine BluffChicago State UniversityUnion Institute and University","1997","1941"
"140","","Illinois 8","","Duckworth, TammyTammy Duckworth","Democratic","Unspecified","Assistant Secretary of the Department of Veterans Affairs for Public and Intergovernmental Affairs","University of Hawaiʻi at MānoaGeorge Washington UniversityNorthern Illinois University","2013","1968"
"141","","Illinois 9","","Schakowsky, JanJan Schakowsky","Democratic","Jewish","Illinois House of Representatives","University of Illinois","1999","1944"
"142","","Illinois 10","","Schneider, BradBrad Schneider","Democratic","Jewish","Businessman","Northwestern University","2013","1961"
"143","","Illinois 11","","Foster, BillBill Foster","Democratic","Unspecified","U.S. House","University of Wisconsin–MadisonHarvard University","2013","1955"
"144","","Illinois 12","","Enyart, WilliamWilliam Enyart","Democratic","Congregationalist - UCC","Adjutant general of Illinois","Southern Illinois University CarbondaleUnited States Army War College","2013","1949"
"145","","Illinois 13","","Davis, Rodney L.Rodney L. Davis","Republican","Roman Catholic","Congressional Staffer","Millikin University","2013","1970"
"146","","Illinois 14","","Hultgren, RandyRandy Hultgren","Republican","Nondenominational Christian","Illinois Senate, Illinois House of Representatives, Dupage County, Illinois Board of Commissioners","Bethel UniversityChicago-Kent College of Law","2011","1966"
"147","","Illinois 15","","Shimkus, JohnJohn Shimkus","Republican","Lutheran - LCMS","Madison County, Illinois Treasurer","United States Military AcademySouthern Illinois University","1997","1958"
"148","","Illinois 16","","Kinzinger, AdamAdam Kinzinger","Republican","unspecified Protestant","McLean County, Illinois Board of Commissioners","Illinois State University","2011","1978"
"149","","Illinois 17","","Bustos, CheriCheri Bustos","Democratic","Roman Catholic","East Moline City Council","University of MarylandUniversity of Illinois at Springfield","2013","1961"
"150","","Illinois 18","","Schock, AaronAaron Schock","Republican","Baptist - CBA","Illinois House of Representatives, President of the Peoria, Illinois School Board","Bradley University","2009","1981"
"151","","Indiana 1","","Visclosky, PetePete Visclosky","Democratic","Roman Catholic","Attorney, Congressional aide","Indiana University NorthwestUniversity of Notre DameGeorgetown University","1985","1949"
"152","","Indiana 2","","Walorski, JackieJackie Walorski","Republican","Pentecostal - AG","Indiana House of Representatives","Liberty Baptist CollegeTaylor University","2013","1963"
"153","","Indiana 3","","Stutzman, MarlinMarlin Stutzman","Republican","Baptist - SBC","Indiana Senate, Indiana House of Representatives","Glen Oaks Community CollegeTrine University","2010*","1976"
"154","","Indiana 4","","Rokita, ToddTodd Rokita","Republican","Roman Catholic","Indiana Secretary of State","Wabash CollegeIndiana University Robert H. McKinney School of Law","2011","1970"
"155","","Indiana 5","","Brooks, SusanSusan Brooks","Republican","Roman Catholic","U.S. Attorney for Southern Indiana","Miami University of OhioIndiana University Robert H. McKinney School of Law","2013","1960"
"156","","Indiana 6","","Messer, LukeLuke Messer","Republican","Presbyterian PC(USA)","Indiana House of Representatives","Wabash CollegeVanderbilt University Law School","2013","1969"
"157","","Indiana 7","","Carson, AndréAndré Carson","Democratic","Muslim","Indianapolis City-County Council","Concordia University WisconsinIndiana Wesleyan University","2008*","1974"
"158","","Indiana 8","","Bucshon, LarryLarry Bucshon","Republican","Lutheran - LCMS","Heart Surgeon","University of Illinois at Urbana-ChampaignUniversity of Illinois Medical School","2011","1962"
"159","","Indiana 9","","Young, ToddTodd Young","Republican","Churches of Christ","Deputy Prosecutor for Orange County, Indiana, President of the Orange County, Indiana Bar Association","United States Naval AcademyUniversity of ChicagoUniversity of LondonIndiana University","2011","1972"
"160","","Iowa 1","","Braley, BruceBruce Braley","Democratic","Presbyterian PC(USA)","President of the Iowa Trial Lawyers Association, Lawyer","Iowa State UniversityUniversity of Iowa","2007","1957"
"161","","Iowa 2","","Loebsack, DavidDavid Loebsack","Democratic","United Methodist","Professor","Iowa State University","2007","1952"
"162","","Iowa 3","","Latham, TomTom Latham","Republican","Lutheran - ELCA","Businessman","Iowa State University","1995","1948"
"163","","Iowa 4","","King, SteveSteve King","Republican","Roman Catholic","Iowa Senate","Northwest Missouri State University","2003","1949"
"164","","Kansas 1","","Huelskamp, TimTim Huelskamp","Republican","Roman Catholic","Kansas Senate","College of Santa FeAmerican University","2011","1968"
"165","","Kansas 2","","Jenkins, LynnLynn Jenkins","Republican","United Methodist","Kansas State Treasurer, Kansas Senate, Kansas House of Representatives","Kansas State UniversityWeber State College","2009","1963"
"166","","Kansas 3","","Yoder, KevinKevin Yoder","Republican","United Methodist","Kansas House of Representatives","University of KansasUniversity of Kansas Law School","2011","1976"
"167","","Kansas 4","","Pompeo, MikeMike Pompeo","Republican","Presbyterian (EPC)","Attorney","U.S. Military AcademyHarvard Law School","2011","1963"
"168","","Kentucky 1","","Whitfield, EdEd Whitfield","Republican","United Methodist","Vice President of CSX Corporation, Legal Counsel to the Chairman of the Interstate Commerce Commission, Kentucky House of Representatives","University of KentuckyWesley Theological Seminary","1995","1943"
"169","","Kentucky 2","","Guthrie, BrettBrett Guthrie","Republican","Churches of Christ","Kentucky Senate","United States Military AcademyYale University","2009","1964"
"170","","Kentucky 3","","Yarmuth, JohnJohn Yarmuth","Democratic","Jewish","Newspaper Publisher, Vice-President for University Relations University of Louisville","Yale University","2007","1947"
"171","","Kentucky 4","","Massie, ThomasThomas Massie","Republican","United Methodist","Judge-Executive of Lewis County, Kentucky","Massachusetts Institute of Technology","2012*","1971"
"172","","Kentucky 5","","Rogers, HalHal Rogers","Republican","Baptist - SBC","Commonwealth's Attorney for Pulaski and Rockcastle County, Kentucky","University of Kentucky","1981","1937"
"173","","Kentucky 6","","Barr, AndyAndy Barr","Republican","Episcopalian","Attorney","University of VirginiaUniversity of Kentucky College of Law","2013","1973"
"174","","Louisiana 1","","Scalise, SteveSteve Scalise","Republican","Roman Catholic","Louisiana State Senate, Louisiana House of Representatives","Louisiana State University","2008","1965"
"175","","Louisiana 2","","Richmond, CedricCedric Richmond","Democratic","Baptist","Louisiana House of Representatives","Morehouse CollegeTulane School of Law","2011","1973"
"176","","Louisiana 3","","Boustany, CharlesCharles Boustany","Republican","Episcopalian","Heart surgeon","University of Southwestern LouisianaLouisiana State University","2005","1956"
"177","","Louisiana 4","","Fleming, JohnJohn Fleming","Republican","Baptist - SBC","Webster Parish, Louisiana Coroner|, Businessman","University of Mississippi","2009","1951"
"178","","Louisiana 5","","McAllister, VanceVance McAllister","Republican","Baptist - SBC","Businessman","University of Louisiana at Monroe","2013*","1974"
"179","","Louisiana 6","","Cassidy, BillBill Cassidy","Republican","Nondenominational Christian","Louisiana State Senate","Louisiana State University","2009","1957"
