"","","District","","Name","Party","Religion","Prior Experience","Education","Assumed Office","Born In"
"361","","Tennessee 9","","Cohen, SteveSteve Cohen","Democratic","Jewish","Tennessee Senate, Attorney","Vanderbilt UniversityUniversity of Memphis","2007","1949"
"362","","Texas 1","","Gohmert, LouieLouie Gohmert","Republican","Baptist - SBC","Texas appeals court judge","Texas A&M UniversityBaylor University","2005","1953"
"363","","Texas 2","","Poe, TedTed Poe","Republican","Churches of Christ","federal court judge","Abilene Christian UniversityUniversity of Houston Law Center","2005","1948"
"364","","Texas 3","","Johnson, SamSam Johnson","Republican","United Methodist","Texas state legislator","Southern Methodist University","1991*","1930"
"365","","Texas 4","","Hall, RalphRalph Hall","Republican","United Methodist","Texas Senate, attorney; financial executive","Southern Methodist UniversityTexas Christian University (attended)University of Texas at Austin (attended)","1981","1923"
"366","","Texas 5","","Hensarling, JebJeb Hensarling","Republican","Episcopalian","energy executive","Texas A&M UniversityUniversity of Texas at Austin","2003","1957"
"367","","Texas 6","","Barton, JoeJoe Barton","Republican","United Methodist","oil industry consultant","Texas A&M UniversityPurdue University","1985","1949"
"368","","Texas 7","","Culberson, JohnJohn Culberson","Republican","United Methodist","Texas House of Representatives","Southern Methodist UniversitySouth Texas College of Law","2001","1956"
"369","","Texas 8","","Brady, KevinKevin Brady","Republican","Roman Catholic","Beaumont, Texas Chamber of Commerce executive","University of South Dakota","1997","1955"
"370","","Texas 9","","Green, AlAl Green","Democratic","Baptist - SBC","Harris County Justice of the Peace, Houston NAACP president","Florida A&M UniversityTuskeegee InstituteTexas Southern University","2005","1947"
"371","","Texas 10","","McCaul, MichaelMichael McCaul","Republican","Roman Catholic","Attorney, federal prosecutor","Trinity UniversitySt. Mary's UniversityKennedy School of Government (attended)","2005","1962"
"372","","Texas 11","","Conaway, MikeMike Conaway","Republican","Baptist - SBC","oil exploration executive","Texas A&M University–Commerce","2005","1948"
"373","","Texas 12","","Granger, KayKay Granger","Republican","United Methodist","Mayor of Fort Worth","Texas Wesleyan University","1999","1943"
"374","","Texas 13","","Thornberry, MacMac Thornberry","Republican","Presbyterian PC(USA)","Rancher, attorney","Texas Tech UniversityUniversity of Texas Law School","1995","1958"
"375","","Texas 14","","Weber, RandyRandy Weber","Republican","Baptist - SBC","Texas House of Representatives","University of Houston–Clear Lake","2013","1953"
"376","","Texas 15","","Hinojosa, RubénRubén Hinojosa","Democratic","Roman Catholic","food processing executive, Texas State Board of Education","University of Texas at AustinUniversity of Texas-Pan American","1997","1940"
"377","","Texas 16","","O'Rourke, BetoBeto O'Rourke","Democratic","Roman Catholic","El Paso City Councilman","Columbia University (attended)","2013","1972"
"378","","Texas 17","","Flores, BillBill Flores","Republican","Baptist - SBC","businessman","Texas A&M UniversityHouston Baptist University","2011","1954"
"379","","Texas 18","","Jackson Lee, SheilaSheila Jackson Lee","Democratic","Seventh-Day Adventist","Houston City Council","Yale UniversityUniversity of Virginia Law School","1995","1950"
"380","","Texas 19","","Neugebauer, RandyRandy Neugebauer","Republican","Baptist - SBC","Lubbock City Council, real estate developer","Texas Tech University","2003","1949"
"381","","Texas 20","","Castro, JoaquínJoaquín Castro","Democratic","Roman Catholic","Texas House of Representatives","Stanford UniversityHarvard Law School","2013","1974"
"382","","Texas 21","","Smith, Lamar S.Lamar S. Smith","Republican","Christian Scientist","Bexar County, Texas commissioner","Yale UniversitySouthern Methodist University School of Law","1987","1947"
"383","","Texas 22","","Olson, PetePete Olson","Republican","United Methodist","Congressional aide","Rice UniversityUniversity of Texas at Austin","2009","1962"
"384","","Texas 23","","Gallego, PetePete Gallego","Democratic","Roman Catholic","Texas House of Representatives","Sul Ross State UniversityUniversity of Texas School of Law","2013","1961"
"385","","Texas 24","","Marchant, KennyKenny Marchant","Republican","Nazarene","mayor of Carrolton, State Representative, Texas","Southern Nazarene University","2005","1951"
"386","","Texas 25","","Williams, RogerRoger Williams","Republican","Disciples of Christ","Secretary of State of Texas","Texas Christian University","2013","1949"
"387","","Texas 26","","Burgess, MichaelMichael Burgess","Republican","Anglican (REC)","physician","University of North TexasUniversity of Texas Health Science Center at Houston","2003","1950"
"388","","Texas 27","","Farenthold, BlakeBlake Farenthold","Republican","Episcopalian","attorney","University of Texas at AustinSt. Mary's University School of Law","2011","1961"
"389","","Texas 28","","Cuellar, HenryHenry Cuellar","Democratic","Roman Catholic","Texas House of Representatives, Texas Secretary of State","Edmund A. Walsh School of Foreign ServiceUniversity of Texas at Austin","2005","1955"
"390","","Texas 29","","Green, GeneGene Green","Democratic","United Methodist","Texas House of Representatives, Texas Senate","University of Houston","1993","1947"
"391","","Texas 30","","Johnson, EddieEddie Johnson","Democratic","Baptist - NBC","Texas Senate, nurse","Saint Mary's College-IndianaTexas Christian UniversitySouthern Methodist University","1991","1935"
"392","","Texas 31","","Carter, JohnJohn Carter","Republican","Lutheran - ELCA","district judge","Texas Tech UniversityUniversity of Texas at Austin","2003","1941"
"393","","Texas 32","","Sessions, PetePete Sessions","Republican","United Methodist","marketing executive","Southwestern University","1997","1955"
"394","","Texas 33","","Veasey, MarcMarc Veasey","Democratic","Baptist","Texas House of Representatives","Texas Wesleyan University","2013","1971"
"395","","Texas 34","","Vela, Jr., FilemonFilemon Vela, Jr.","Democratic","Roman Catholic","Attorney","Georgetown UniversityUniversity of Texas School of Law","2013","1963"
"396","","Texas 35","","Doggett, LloydLloyd Doggett","Democratic","United Methodist","Texas Senate, Texas Supreme Court justice, college professor","University of Texas at Austin","1995","1946"
"397","","Texas 36","","Stockman, SteveSteve Stockman","Republican","Baptist - SBC","U.S. House","University of Houston–Clear Lake","2013","1956"
"398","","Utah 1","","Bishop, RobRob Bishop","Republican","Mormon","Utah State Representative, Chairman of the Utah Republican Party","University of Utah","2003","1951"
"399","","Utah 2","","Stewart, ChrisChris Stewart","Republican","Mormon","Author, businessman","Utah State University","2013","1960"
"400","","Utah 3","","Chaffetz, JasonJason Chaffetz","Republican","Mormon","Business relations executive","Brigham Young University","2009","1967"
"401","","Utah 4","","Matheson, JimJim Matheson","Democratic","Mormon","Business owner","Harvard UniversityUniversity of California, Los Angeles","2001","1960"
"402","","Vermont At Large","","Welch, PeterPeter Welch","Democratic","Roman Catholic","Vermont Senate President Pro Tempore","College of the Holy CrossUniversity of California, Berkeley","2007","1947"
"403","","Virginia 1","","Wittman, RobRob Wittman","Republican","Episcopalian","Mayor of Montross, Westmoreland County Board of Supervisors, Virginia House of Delegates","Virginia TechUniversity of North CarolinaVirginia Commonwealth University","2007*","1959"
"404","","Virginia 2","","Rigell, ScottScott Rigell","Republican","Nondenominational Christian","businessman","Mercer UniversityRegent University","2011","1960"
"405","","Virginia 3","","Scott, RobertRobert Scott","Democratic","Episcopalian","Virginia State Legislature","Harvard UniversityBoston College Law School","1993","1947"
"406","","Virginia 4","","Forbes, RandyRandy Forbes","Republican","Baptist - SBC","Virginia Senate","Randolph-Macon CollegeUniversity of Virginia School of Law","2001","1952"
"407","","Virginia 5","","Hurt, RobertRobert Hurt","Republican","Presbyterian PC(USA)","Virginia House of Delegates, Virginia Senate","Hampden-Sydney CollegeMississippi College School of Law","2011","1969"
"408","","Virginia 6","","Goodlatte, BobBob Goodlatte","Republican","Christian Scientist","Private legal practice","Bates CollegeWashington and Lee University","1993","1952"
"409","","Virginia 7","","Brat, DaveDave Brat","Republican","Christian","Economics professor at Randolph–Macon College","Hope CollegePrinceton Theological SeminaryAmerican University","2014*","1964"
"410","","Virginia 8","","Moran, JimJim Moran","Democratic","Roman Catholic","Mayor of Alexandria","College of the Holy CrossUniversity of Pittsburgh","1991","1945"
"411","","Virginia 9","","Griffith, MorganMorgan Griffith","Republican","Episcopalian","Virginia House of Delegates","Emory and Henry CollegeWashington and Lee University","2011","1958"
"412","","Virginia 10","","Wolf, FrankFrank Wolf","Republican","Presbyterian PC(USA)","Assistant to the Secretary of the Interior","Pennsylvania State UniversityGeorgetown University","1981","1939"
"413","","Virginia 11","","Connolly, GerryGerry Connolly","Democratic","Roman Catholic","public administration","Maryknoll College (Illinois) (closed)Harvard University","2009","1950"
"414","","Washington 1","","DelBene, SuzanSuzan DelBene","Democratic","Episcopalian","Washington Department of Revenue Director","Reed CollegeUniversity of Washington","2012*","1963"
"415","","Washington 2","","Larsen, RickRick Larsen","Democratic","United Methodist","Snohomish County Council","Pacific Lutheran UniversityUniversity of Minnesota","2001","1965"
"416","","Washington 3","","Herrera Beutler, JaimeJaime Herrera Beutler","Republican","unspecified Christian","Washington House of Representatives","University of Washington","2011","1978"
"417","","Washington 4","","Hastings, DocDoc Hastings","Republican","Presbyterian","Washington House of Representatives","Columbia UniversityCentral Washington University","1995","1941"
"418","","Washington 5","","McMorris Rodgers, CathyCathy McMorris Rodgers","Republican","Evangelical Free Church","Washington House of Representatives","Pensacola Christian CollegeUniversity of Washington","2005","1969"
"419","","Washington 6","","Kilmer, DerekDerek Kilmer","Democratic","United Methodist","Washington State Senate","Princeton UniversityUniversity of Oxford","2013","1974"
"420","","Washington 7","","McDermott, JimJim McDermott","Democratic","Episcopalian","Psychiatrist, Washington State Senate","Wheaton CollegeUniversity of Illinois","1989","1936"
"421","","Washington 8","","Reichert, DaveDave Reichert","Republican","Lutheran - LCMS","King County Sheriff","Concordia College","2005","1950"
"422","","Washington 9","","Smith, AdamAdam Smith","Democratic","Episcopalian","Washington State Senate","Fordham UniversityUniversity of Washington","1997","1965"
"423","","Washington 10","","Heck, DennisDennis Heck","Democratic","Lutheran - ELCA","Washington House of Representatives","The Evergreen State College","2013","1952"
"424","","West Virginia 1","","McKinley, DavidDavid McKinley","Republican","Episcopalian","businessman","Purdue University","2011","1947"
"425","","West Virginia 2","","Moore Capito, ShelleyShelley Moore Capito","Republican","Presbyterian PC(USA)","West Virginia House of Delegates","Duke UniversityUniversity of Virginia","2001","1953"
"426","","West Virginia 3","","Rahall, NickNick Rahall","Democratic","Presbyterian PC(USA)","Senate Staff Member; media executive","Duke UniversityGeorge Washington University","1977","1949"
"427","","Wisconsin 1","","Ryan, PaulPaul Ryan","Republican","Roman Catholic","Legislative Director","Miami University","1999","1970"
"428","","Wisconsin 2","","Pocan, MarkMark Pocan","Democratic","Unspecified","Wisconsin State Assembly","University of Wisconsin–Madison","2013","1964"
"429","","Wisconsin 3","","Kind, RonRon Kind","Democratic","Lutheran - WELS","County Prosecutor","London School of EconomicsUniversity of Minnesota","1997","1963"
"430","","Wisconsin 4","","Moore, GwenGwen Moore","Democratic","Baptist","Wisconsin State Assembly, Wisconsin State Senate","Marquette UniversityHarvard University","2005","1951"
"431","","Wisconsin 5","","Sensenbrenner, JimJim Sensenbrenner","Republican","Episcopalian","Wisconsin State Senate","Stanford UniversityUniversity of Wisconsin","1979","1943"
"432","","Wisconsin 6","","Petri, TomTom Petri","Republican","Lutheran - ELCA","Wisconsin State Senate","Harvard University","1979","1940"
"433","","Wisconsin 7","","Duffy, SeanSean Duffy","Republican","Roman Catholic","Ashland County District Attorney","St. Mary's UniversityWilliam Mitchell College of Law","2011","1971"
"434","","Wisconsin 8","","Ribble, ReidReid Ribble","Republican","Nondenominational Christian","businessman","","2011","1956"
"435","","Wyoming At Large","","Lummis, CynthiaCynthia Lummis","Republican","Lutheran - LCMS","Wyoming State Treasurer","University of Wyoming","2009","1954"
